Date,Open,Close,COVID Case,COVID Death,Volume,Value
2012-01-03,0.101034,0.101034,0,0,112.34,35.22279
2012-01-04,0.10722,0.10722,0,0,112.34,35.22279
2012-01-05,0.098972,0.098972,0,0,112.34,35.22279
2012-01-06,0.10722,0.10722,0,0,112.34,35.22279
2012-01-09,0.10722,0.10722,0,0,112.34,35.22279
2012-01-10,0.098972,0.098972,0,0,112.34,35.22279
2012-01-11,0.10722,0.101034,0,0,112.34,35.22279
2012-01-12,0.10722,0.10722,0,0,112.34,35.22279
2012-01-13,0.10722,0.10722,0,0,112.34,35.22279
2012-01-16,0.09691,0.098972,0,0,112.34,35.22279
2012-01-17,0.098972,0.098972,0,0,112.34,35.22279
2012-01-18,0.09691,0.09691,0,0,112.34,35.22279
2012-01-19,0.09691,0.09691,0,0,112.34,35.22279
2012-01-20,0.098972,0.10722,0,0,112.34,35.22279
2012-01-25,0.10722,0.10722,0,0,112.34,35.22279
2012-01-26,0.098972,0.098972,0,0,112.34,35.22279
2012-01-27,0.098972,0.098972,0,0,112.34,35.22279
2012-01-30,0.098972,0.10722,0,0,112.34,35.22279
2012-01-31,0.098972,0.098972,0,0,112.34,35.22279
2012-02-02,0.10722,0.101034,0,0,112.34,35.22279
2012-02-03,0.10722,0.101034,0,0,112.34,35.22279
2012-02-08,0.10722,0.101034,0,0,112.34,35.22279
2012-02-09,0.103096,0.105158,0,0,112.34,35.22279
2012-02-10,0.101034,0.103096,0,0,112.34,35.22279
2012-02-13,0.105158,0.105158,0,0,112.34,35.22279
2012-02-14,0.105158,0.105158,0,0,112.34,35.22279
2012-02-15,0.105158,0.105158,0,0,112.34,35.22279
2012-02-16,0.105158,0.09691,0,0,112.34,35.22279
2012-02-17,0.09691,0.103096,0,0,112.34,35.22279
2012-02-20,0.09691,0.105158,0,0,112.34,35.22279
2012-02-21,0.09691,0.103096,0,0,112.34,35.22279
2012-02-22,0.103096,0.098972,0,0,112.34,35.22279
2012-02-23,0.103096,0.103096,0,0,112.34,35.22279
2012-02-24,0.103096,0.103096,0,0,112.34,35.22279
2012-02-27,0.094848,0.094848,0,0,112.34,35.22279
2012-02-28,0.101034,0.09691,0,0,112.34,35.22279
2012-02-29,0.090724,0.101034,0,0,112.34,35.22279
2012-03-01,0.101034,0.101034,0,0,112.34,35.22279
2012-03-02,0.101034,0.101034,0,0,112.34,35.22279
2012-03-05,0.094848,0.094848,0,0,112.34,35.22279
2012-03-06,0.09691,0.09691,0,0,112.34,35.22279
2012-03-07,0.101034,0.101034,0,0,112.34,35.22279
2012-03-08,0.101034,0.101034,0,0,112.34,35.22279
2012-03-09,0.103096,0.098972,0,0,112.34,35.22279
2012-03-12,0.098972,0.098972,0,0,112.34,35.22279
2012-03-13,0.09691,0.098972,0,0,112.34,35.22279
2012-03-14,0.098972,0.098972,0,0,112.34,35.22279
2012-03-15,0.098972,0.098972,0,0,112.34,35.22279
2012-03-16,0.098972,0.09691,0,0,112.34,35.22279
2012-03-19,0.105158,0.098972,0,0,112.34,35.22279
2012-03-20,0.103096,0.103096,0,0,112.34,35.22279
2012-03-21,0.092786,0.098972,0,0,112.34,35.22279
2012-03-22,0.098972,0.098972,0,0,112.34,35.22279
2012-03-23,0.103096,0.101034,0,0,112.34,35.22279
2012-03-26,0.094848,0.103096,0,0,112.34,35.22279
2012-03-27,0.094848,0.103096,0,0,112.34,35.22279
2012-03-28,0.103096,0.103096,0,0,112.34,35.22279
2012-03-29,0.098972,0.101034,0,0,112.34,35.22279
2012-03-30,0.098972,0.098972,0,0,112.34,35.22279
2012-04-02,0.094848,0.10722,0,0,112.34,35.22279
2012-04-03,0.10722,0.10722,0,0,112.34,35.22279
2012-04-04,0.101034,0.101034,0,0,112.34,35.22279
2012-04-05,0.094848,0.094848,0,0,112.34,35.22279
2012-04-06,0.094848,0.111343,0,0,112.34,35.22279
2012-04-09,0.111343,0.111343,0,0,112.34,35.22279
2012-04-10,0.111343,0.111343,0,0,112.34,35.22279
2012-04-12,0.101034,0.103096,0,0,112.34,35.22279
2012-04-13,0.098972,0.115467,0,0,112.34,35.22279
2012-04-16,0.101034,0.101034,0,0,112.34,35.22279
2012-04-17,0.113405,0.113405,0,0,112.34,35.22279
